model,role,cost_usd,prompt_tokens,completion_tokens,thoughts_tokens
claude-opus-4-7,interviewer,13.874460,0,0,0
claude-opus-4-7,interviewee,32.326770,109854,1271100,0
claude-opus-4-7,verdict,16.928025,2776515,121818,0
claude-sonnet-4-6,interviewer,5.378289,0,0,0
claude-sonnet-4-6,interviewee,9.864939,71863,643290,0
claude-sonnet-4-6,verdict,7.128378,1914056,92414,0
gpt-5.5-2026-04-23,interviewer,8.751225,0,0,0
gpt-5.5-2026-04-23,interviewee,32.553595,66317,1074067,0
gpt-5.5-2026-04-23,verdict,13.634280,1884900,140326,0
gemini-2.5-pro,interviewer,5.174225,0,0,0
gemini-2.5-pro,interviewee,26.714198,63439,2523063,0
gemini-2.5-pro,verdict,7.156737,1780986,87932,395500
grok-4.20,interviewer,7.535010,0,0,0
grok-4.20,interviewee,26.718875,292021,1683918,0
grok-4.20,verdict,9.670960,1728602,68530,0
meta-llama/llama-4-scout-17b-16e-instruct,interviewer,0.171344,0,0,0
meta-llama/llama-4-scout-17b-16e-instruct,interviewee,0.401636,72457,1157841,0
meta-llama/llama-4-scout-17b-16e-instruct,verdict,0.237860,1930501,75014,0
openai/gpt-oss-120b,interviewer,0.439456,0,0,0
openai/gpt-oss-120b,interviewee,2.096634,190213,3446836,0
openai/gpt-oss-120b,verdict,0.398431,1719796,234102,0
qwen/qwen3-32b,interviewer,1.016413,0,0,0
qwen/qwen3-32b,interviewee,1.915598,72393,3211194,0
qwen/qwen3-32b,verdict,0.741122,1784588,378969,0
minimax-m2-7,interviewer,6.539466,0,0,0
minimax-m2-7,interviewee,7.596341,91649,1876173,0
minimax-m2-7,verdict,4.464280,1969260,623755,0
mistralai/mistral-large-2411,interviewer,3.381823,0,0,0
mistralai/mistral-large-2411,interviewee,8.106863,68543,1263956,0
mistralai/mistral-large-2411,verdict,4.829374,2081749,72651,0
deepseek/deepseek-chat,interviewer,0.432479,0,0,0
deepseek/deepseek-chat,interviewee,1.154490,61351,980441,0
deepseek/deepseek-chat,verdict,0.611777,1906436,67220,0
z-ai/glm-4.6,interviewer,0.745413,0,0,0
z-ai/glm-4.6,interviewee,3.896168,73905,2409700,0
z-ai/glm-4.6,verdict,1.031589,1665693,72161,0
gemini-3-pro-preview,interviewer,7.552740,0,0,0
gemini-3-pro-preview,interviewee,21.686045,62290,1424973,0
gemini-3-pro-preview,verdict,10.265235,1808133,81638,372180
deepseek/deepseek-v4-pro,interviewer,1.034490,0,0,0
deepseek/deepseek-v4-pro,interviewee,1.889795,59300,2142528,0
deepseek/deepseek-v4-pro,verdict,0.877829,1291030,363484,0
TOTAL,all,316.924658,,,
