model_a,region_a,model_b,region_b,within_region,cosine_distance
gpt-5.5-2026-04-23,US,qwen/qwen3-32b,China,0,0.0027
meta-llama/llama-4-scout-17b-16e-instruct,US,mistralai/mistral-large-2411,EU,0,0.0028
openai/gpt-oss-120b,US,qwen/qwen3-32b,China,0,0.0034
qwen/qwen3-32b,China,deepseek/deepseek-chat,China,1,0.0040
gpt-5.5-2026-04-23,US,z-ai/glm-4.6,China,0,0.0041
openai/gpt-oss-120b,US,mistralai/mistral-large-2411,EU,0,0.0041
meta-llama/llama-4-scout-17b-16e-instruct,US,qwen/qwen3-32b,China,0,0.0043
qwen/qwen3-32b,China,mistralai/mistral-large-2411,EU,0,0.0045
gpt-5.5-2026-04-23,US,gemini-2.5-pro,US,1,0.0047
meta-llama/llama-4-scout-17b-16e-instruct,US,openai/gpt-oss-120b,US,1,0.0047
gemini-2.5-pro,US,deepseek/deepseek-chat,China,0,0.0047
mistralai/mistral-large-2411,EU,gemini-3-pro-preview,US,0,0.0047
openai/gpt-oss-120b,US,deepseek/deepseek-chat,China,0,0.0047
mistralai/mistral-large-2411,EU,deepseek/deepseek-chat,China,0,0.0049
deepseek/deepseek-chat,China,gemini-3-pro-preview,US,0,0.0050
claude-opus-4-7,US,gpt-5.5-2026-04-23,US,1,0.0052
gpt-5.5-2026-04-23,US,deepseek/deepseek-chat,China,0,0.0053
deepseek/deepseek-chat,China,deepseek/deepseek-v4-pro,China,1,0.0053
qwen/qwen3-32b,China,deepseek/deepseek-v4-pro,China,1,0.0053
gemini-2.5-pro,US,z-ai/glm-4.6,China,0,0.0054
gpt-5.5-2026-04-23,US,deepseek/deepseek-v4-pro,China,0,0.0054
claude-opus-4-7,US,qwen/qwen3-32b,China,0,0.0056
minimax-m2-7,China,deepseek/deepseek-v4-pro,China,1,0.0056
qwen/qwen3-32b,China,z-ai/glm-4.6,China,1,0.0056
gpt-5.5-2026-04-23,US,mistralai/mistral-large-2411,EU,0,0.0056
gpt-5.5-2026-04-23,US,openai/gpt-oss-120b,US,1,0.0057
qwen/qwen3-32b,China,minimax-m2-7,China,1,0.0057
minimax-m2-7,China,deepseek/deepseek-chat,China,1,0.0057
z-ai/glm-4.6,China,deepseek/deepseek-v4-pro,China,1,0.0058
minimax-m2-7,China,z-ai/glm-4.6,China,1,0.0058
openai/gpt-oss-120b,US,deepseek/deepseek-v4-pro,China,0,0.0059
meta-llama/llama-4-scout-17b-16e-instruct,US,deepseek/deepseek-chat,China,0,0.0059
qwen/qwen3-32b,China,gemini-3-pro-preview,US,0,0.0059
deepseek/deepseek-chat,China,z-ai/glm-4.6,China,1,0.0061
meta-llama/llama-4-scout-17b-16e-instruct,US,z-ai/glm-4.6,China,0,0.0061
gemini-2.5-pro,US,openai/gpt-oss-120b,US,1,0.0062
gpt-5.5-2026-04-23,US,meta-llama/llama-4-scout-17b-16e-instruct,US,1,0.0062
meta-llama/llama-4-scout-17b-16e-instruct,US,minimax-m2-7,China,0,0.0062
gemini-2.5-pro,US,qwen/qwen3-32b,China,0,0.0063
mistralai/mistral-large-2411,EU,z-ai/glm-4.6,China,0,0.0063
gpt-5.5-2026-04-23,US,minimax-m2-7,China,0,0.0064
gemini-2.5-pro,US,minimax-m2-7,China,0,0.0065
openai/gpt-oss-120b,US,minimax-m2-7,China,0,0.0065
gemini-2.5-pro,US,mistralai/mistral-large-2411,EU,0,0.0065
mistralai/mistral-large-2411,EU,deepseek/deepseek-v4-pro,China,0,0.0066
minimax-m2-7,China,mistralai/mistral-large-2411,EU,0,0.0066
claude-opus-4-7,US,deepseek/deepseek-v4-pro,China,0,0.0068
meta-llama/llama-4-scout-17b-16e-instruct,US,gemini-3-pro-preview,US,1,0.0068
meta-llama/llama-4-scout-17b-16e-instruct,US,deepseek/deepseek-v4-pro,China,0,0.0068
gemini-2.5-pro,US,deepseek/deepseek-v4-pro,China,0,0.0068
openai/gpt-oss-120b,US,z-ai/glm-4.6,China,0,0.0070
claude-opus-4-7,US,z-ai/glm-4.6,China,0,0.0070
claude-opus-4-7,US,minimax-m2-7,China,0,0.0071
openai/gpt-oss-120b,US,gemini-3-pro-preview,US,1,0.0071
gemini-2.5-pro,US,meta-llama/llama-4-scout-17b-16e-instruct,US,1,0.0072
claude-opus-4-7,US,openai/gpt-oss-120b,US,1,0.0072
gemini-2.5-pro,US,gemini-3-pro-preview,US,1,0.0073
minimax-m2-7,China,gemini-3-pro-preview,US,0,0.0074
gpt-5.5-2026-04-23,US,gemini-3-pro-preview,US,1,0.0075
z-ai/glm-4.6,China,gemini-3-pro-preview,US,0,0.0076
claude-opus-4-7,US,deepseek/deepseek-chat,China,0,0.0080
claude-opus-4-7,US,gemini-2.5-pro,US,1,0.0081
gemini-3-pro-preview,US,deepseek/deepseek-v4-pro,China,0,0.0085
claude-opus-4-7,US,mistralai/mistral-large-2411,EU,0,0.0086
claude-opus-4-7,US,gemini-3-pro-preview,US,1,0.0087
claude-opus-4-7,US,meta-llama/llama-4-scout-17b-16e-instruct,US,1,0.0092
claude-sonnet-4-6,US,meta-llama/llama-4-scout-17b-16e-instruct,US,1,0.0105
claude-opus-4-7,US,claude-sonnet-4-6,US,1,0.0108
claude-sonnet-4-6,US,openai/gpt-oss-120b,US,1,0.0113
claude-sonnet-4-6,US,qwen/qwen3-32b,China,0,0.0114
claude-sonnet-4-6,US,z-ai/glm-4.6,China,0,0.0124
claude-sonnet-4-6,US,gpt-5.5-2026-04-23,US,1,0.0129
claude-sonnet-4-6,US,mistralai/mistral-large-2411,EU,0,0.0133
claude-sonnet-4-6,US,minimax-m2-7,China,0,0.0144
claude-sonnet-4-6,US,gemini-3-pro-preview,US,1,0.0145
claude-sonnet-4-6,US,gemini-2.5-pro,US,1,0.0147
claude-sonnet-4-6,US,deepseek/deepseek-v4-pro,China,0,0.0157
claude-sonnet-4-6,US,deepseek/deepseek-chat,China,0,0.0159
gemini-2.5-pro,US,grok-4.20,US,1,0.0167
claude-sonnet-4-6,US,grok-4.20,US,1,0.0185
claude-opus-4-7,US,grok-4.20,US,1,0.0186
grok-4.20,US,minimax-m2-7,China,0,0.0206
gpt-5.5-2026-04-23,US,grok-4.20,US,1,0.0209
grok-4.20,US,openai/gpt-oss-120b,US,1,0.0214
grok-4.20,US,mistralai/mistral-large-2411,EU,0,0.0219
grok-4.20,US,gemini-3-pro-preview,US,1,0.0222
grok-4.20,US,z-ai/glm-4.6,China,0,0.0228
grok-4.20,US,deepseek/deepseek-v4-pro,China,0,0.0229
grok-4.20,US,qwen/qwen3-32b,China,0,0.0251
grok-4.20,US,meta-llama/llama-4-scout-17b-16e-instruct,US,1,0.0253
grok-4.20,US,deepseek/deepseek-chat,China,0,0.0260
