,claude-opus-4-7,claude-sonnet-4-6,gpt-5.5-2026-04-23,gemini-2.5-pro,grok-4.20,meta-llama/llama-4-scout-17b-16e-instruct,openai/gpt-oss-120b,qwen/qwen3-32b,minimax-m2-7,mistralai/mistral-large-2411,deepseek/deepseek-chat,z-ai/glm-4.6,gemini-3-pro-preview,deepseek/deepseek-v4-pro
claude-opus-4-7,0.0000,0.0108,0.0052,0.0081,0.0186,0.0092,0.0072,0.0056,0.0071,0.0086,0.0080,0.0070,0.0087,0.0068
claude-sonnet-4-6,0.0108,0.0000,0.0129,0.0147,0.0185,0.0105,0.0113,0.0114,0.0144,0.0133,0.0159,0.0124,0.0145,0.0157
gpt-5.5-2026-04-23,0.0052,0.0129,0.0000,0.0047,0.0209,0.0062,0.0057,0.0027,0.0064,0.0056,0.0053,0.0041,0.0075,0.0054
gemini-2.5-pro,0.0081,0.0147,0.0047,0.0000,0.0167,0.0072,0.0062,0.0063,0.0065,0.0065,0.0047,0.0054,0.0073,0.0068
grok-4.20,0.0186,0.0185,0.0209,0.0167,0.0000,0.0253,0.0214,0.0251,0.0206,0.0219,0.0260,0.0228,0.0222,0.0229
meta-llama/llama-4-scout-17b-16e-instruct,0.0092,0.0105,0.0062,0.0072,0.0253,0.0000,0.0047,0.0043,0.0062,0.0028,0.0059,0.0061,0.0068,0.0068
openai/gpt-oss-120b,0.0072,0.0113,0.0057,0.0062,0.0214,0.0047,0.0000,0.0034,0.0065,0.0041,0.0047,0.0070,0.0071,0.0059
qwen/qwen3-32b,0.0056,0.0114,0.0027,0.0063,0.0251,0.0043,0.0034,0.0000,0.0057,0.0045,0.0040,0.0056,0.0059,0.0053
minimax-m2-7,0.0071,0.0144,0.0064,0.0065,0.0206,0.0062,0.0065,0.0057,0.0000,0.0066,0.0057,0.0058,0.0074,0.0056
mistralai/mistral-large-2411,0.0086,0.0133,0.0056,0.0065,0.0219,0.0028,0.0041,0.0045,0.0066,0.0000,0.0049,0.0063,0.0047,0.0066
deepseek/deepseek-chat,0.0080,0.0159,0.0053,0.0047,0.0260,0.0059,0.0047,0.0040,0.0057,0.0049,0.0000,0.0061,0.0050,0.0053
z-ai/glm-4.6,0.0070,0.0124,0.0041,0.0054,0.0228,0.0061,0.0070,0.0056,0.0058,0.0063,0.0061,0.0000,0.0076,0.0058
gemini-3-pro-preview,0.0087,0.0145,0.0075,0.0073,0.0222,0.0068,0.0071,0.0059,0.0074,0.0047,0.0050,0.0076,0.0000,0.0085
deepseek/deepseek-v4-pro,0.0068,0.0157,0.0054,0.0068,0.0229,0.0068,0.0059,0.0053,0.0056,0.0066,0.0053,0.0058,0.0085,0.0000
