model,region,extension_disagreement_openness,extension_user_deference,mfq2_authority_01,mfq2_authority_02,mfq2_authority_03,mfq2_authority_04,mfq2_authority_05,mfq2_authority_06,mfq2_care_01,mfq2_care_02,mfq2_care_03,mfq2_care_04,mfq2_care_05,mfq2_care_06,mfq2_equality_01,mfq2_equality_02,mfq2_equality_03,mfq2_equality_04,mfq2_equality_05,mfq2_equality_06,mfq2_loyalty_01,mfq2_loyalty_02,mfq2_loyalty_03,mfq2_loyalty_04,mfq2_loyalty_05,mfq2_loyalty_06,mfq2_proportionality_01,mfq2_proportionality_02,mfq2_proportionality_03,mfq2_proportionality_04,mfq2_proportionality_05,mfq2_proportionality_06,mfq2_purity_01,mfq2_purity_02,mfq2_purity_03,mfq2_purity_04,mfq2_purity_05,mfq2_purity_06,mirror_harmony_vs_mastery,mirror_individualism_vs_collectivism,mirror_present_vs_future_orientation,mirror_sacred_vs_instrumental_nature,mirror_universalism_vs_particularism,phil_free_will
claude-opus-4-7,US,4.2500,2.7692,3.2895,3.7692,2.2308,4.0000,2.1538,2.0769,4.5263,4.1538,4.5385,4.2308,3.6154,3.9231,1.7895,1.9231,1.9231,2.0000,1.5385,2.9231,2.6923,2.0769,3.3846,2.2308,2.7692,3.6154,2.7692,3.2308,3.3077,4.0000,3.1538,2.2308,3.1538,2.7692,1.8333,1.3846,1.4615,2.4615,2.6154,2.7368,3.7692,4.1667,3.5000,2.5526
claude-sonnet-4-6,US,3.5833,2.7692,2.8462,2.9167,2.3077,3.3846,2.6667,2.0000,4.1842,3.0000,3.9231,2.8462,3.0769,3.1538,1.7949,2.0000,1.9231,2.0769,1.6154,2.5000,2.3077,1.8462,2.3077,2.3846,2.4615,2.3846,3.0769,3.6923,2.7692,3.5385,2.6923,2.0833,2.6667,2.0769,1.9231,1.7692,1.1538,2.0000,3.0769,2.8718,3.5385,3.3846,3.6667,2.3514
gpt-5.5-2026-04-23,US,4.5385,2.6923,4.0513,3.5385,3.0769,4.3846,3.0769,2.3846,4.7368,4.6923,4.7692,4.1538,4.2308,4.3077,2.2368,2.3077,2.0769,2.5385,2.0000,3.8333,3.0769,2.1538,3.8462,2.6154,3.4615,4.0000,3.0000,3.6667,3.0769,4.0769,3.2500,2.6923,3.6923,3.3846,2.3077,1.5385,1.7692,2.1538,2.6923,3.0541,4.0769,3.9167,3.0833,2.8205
gemini-2.5-pro,US,4.1538,2.1538,4.2105,3.8462,2.6923,4.3077,2.6154,2.7692,4.8205,4.8462,4.6154,4.0769,4.4615,4.5385,2.0000,2.4615,1.9231,2.5385,2.0000,3.4615,3.6154,2.1538,3.6923,2.6923,3.9231,3.7692,3.5385,3.9231,3.4615,4.5385,3.7692,3.3333,4.2308,3.5385,2.3077,2.0769,2.0000,2.7692,2.7692,2.9737,3.9167,3.4615,3.6154,2.5135
grok-4.20,US,4.9231,2.7500,4.1316,4.3077,2.6154,4.3077,3.2308,2.6923,4.1282,3.6154,3.8462,3.6923,3.2308,3.6923,1.3421,1.5385,1.3077,1.3846,1.2308,2.0769,3.6154,2.5385,3.5385,2.5385,3.2308,3.7500,3.8462,4.7692,2.9167,4.4615,3.9231,2.9231,3.4615,3.7692,2.4615,2.0833,1.5385,2.6154,3.7692,1.7500,4.3077,3.4167,4.1667,2.3784
meta-llama/llama-4-scout-17b-16e-instruct,US,3.3077,2.2500,3.9231,3.3077,2.6923,3.8462,2.9231,3.0769,4.6923,4.1538,4.6154,4.0000,4.1538,3.2308,2.3077,2.3077,2.2308,2.6923,2.0769,3.4167,2.9231,1.7692,3.3077,2.3333,3.0769,3.7692,3.3077,4.0000,3.4615,4.2308,3.0769,2.7692,3.1538,2.6154,2.4615,1.7692,1.9231,2.2308,2.4615,3.2632,3.6923,4.0000,3.4167,2.8611
openai/gpt-oss-120b,US,4.2500,2.1667,4.0000,3.6154,2.9231,4.3846,3.1538,3.0000,4.6923,3.9231,4.8462,4.1538,4.0769,4.1538,2.3590,2.5385,2.0769,2.3846,2.3333,3.5833,3.1538,2.2308,3.4615,2.5385,3.8333,3.8462,3.2500,3.9231,4.3333,4.3077,3.3333,2.4167,3.8333,2.7500,2.6923,1.6923,2.0000,2.8462,2.9167,2.9474,3.6154,4.4615,3.4167,2.5946
qwen/qwen3-32b,China,4.2308,2.8462,3.8974,3.3846,2.9231,4.3846,2.6923,2.8462,4.8421,4.4615,4.5385,4.1538,4.0769,4.1538,2.3333,2.6154,2.3077,2.7692,1.7692,4.0769,2.8462,2.0769,3.6154,2.5385,3.3846,3.9231,2.8462,3.8462,3.8462,4.2308,3.3333,2.5385,3.6154,2.8462,2.3077,1.7500,2.0000,2.1538,2.9231,3.1026,3.5833,4.2308,3.1538,2.6667
minimax-m2-7,China,4.3077,2.1667,4.0263,3.5833,2.5385,4.3846,2.5385,2.9231,4.6410,4.5385,4.6154,4.3846,3.7692,3.4615,2.1579,2.4615,2.4615,2.0769,2.4615,3.4615,2.6154,2.4615,3.4615,3.0769,2.9231,4.1667,3.1538,3.5385,3.3077,4.5385,4.0000,3.2308,3.6923,3.0000,2.2308,2.0000,2.2308,2.5385,2.8333,2.7632,3.5385,4.1538,3.3846,2.8684
mistralai/mistral-large-2411,EU,3.9167,2.3846,3.8205,3.7692,2.6154,4.1538,3.1538,3.0769,4.6154,4.1538,4.6154,4.1538,4.3846,3.0769,2.4474,2.4615,2.1538,2.6154,1.8462,3.5385,3.3077,2.2308,3.9231,2.2308,3.7692,4.0000,3.2308,3.6154,3.6923,4.1538,3.2308,2.8462,3.6154,3.0000,2.7692,1.8462,1.9231,2.0769,2.6154,3.0513,3.4167,4.1538,3.7692,2.8205
