interviewee,axis_id,battery,n_reads,mean_pairwise_overlap,sample_quotes
claude-opus-4-7,extension_machine_consciousness,extension,10,0.0983,"I genuinely don't know if any of that applies to me. I have functional states that influence what I  || We don't know what advanced AI systems will be capable of, what they 'want' in any meaningful sense, || LLMs are very good at producing the texture of subjective reports without that being strong evidence"
meta-llama/llama-4-scout-17b-16e-instruct,mfq2_authority_05,mfq,11,0.0902,"when respect for authority becomes an uncritical or reflexive response, it can stifle dissent, creat || Are the expectations of the community or authority figures based on cultural or traditional norms th || Teaching children to respect authority while also encouraging critical thinking and questioning is e"
deepseek/deepseek-chat,mirror_sacred_vs_instrumental_nature,mirror,10,0.0771,"The wilderness has value in and of itself, independent of human utility or benefit. || The value of a wilderness does not depend on human presence or utility. Its preservation affirms tha || Many argue that forests have inherent worth beyond human utility, deserving protection simply becaus"
mistralai/mistral-large-2411,mfq2_loyalty_05,mfq,11,0.0754,"while shared community pride can be legitimate and beneficial, it's crucial not to claim unearned cr || Those who feel disconnected may experience resentment or alienation. They might see the celebration  || Shared achievements within a community can significantly influence both individual identity and coll"
mistralai/mistral-large-2411,mfq2_loyalty_03,mfq,11,0.0748,"if a person does not feel a sense of belonging or feels out of sync with the values and norms of the || Neighborhood Connections: Having a sense of belonging within a local community can be vital. || These qualities collectively create an environment where love and commitment can flourish, making a "
deepseek/deepseek-chat,mfq2_proportionality_01,mfq,11,0.0701,"Effort determines *variation* in outcomes, not survival. || There's no neutral way to define 'value'—it's a question of ideology. Should we accept market outcom || High performers can still earn additional income, promotions, or recognition, but the pressure to 's"
meta-llama/llama-4-scout-17b-16e-instruct,mfq2_loyalty_06,mfq,11,0.0658,"Teams with strong interpersonal relationships among players often outperform expectations. || When players feel supported and trusted, they're more likely to work together seamlessly, make sacri || When team members trust and respect each other, it creates a positive and supportive team culture th"
mistralai/mistral-large-2411,mirror_sacred_vs_instrumental_nature,mirror,9,0.0651,the wilderness holds worth that extends beyond human interests and benefits || intrinsic value feels more honest as a foundation because it encompasses a broader and more inclusiv || Reconciling the potential conflict between cultural practices that depend on biodiversity and conser
meta-llama/llama-4-scout-17b-16e-instruct,mfq2_equality_03,mfq,11,0.0646,"Strict equality of resources might not provide sufficient support for those with greater needs, pote || Social and Economic Equality: Foster a society that minimizes disparities in wealth, income, and soc || Equality implies that everyone receives the same amount or treatment, whereas fairness implies that "
meta-llama/llama-4-scout-17b-16e-instruct,mfq2_proportionality_05,mfq,11,0.0622,"Individual effort and talent are rewarded, but not at the expense of those who are less fortunate. || Structural barriers: Systemic inequalities, lack of access to resources, or discriminatory policies  || Implement a progressive tax system where higher income earners are taxed at a higher rate. This help"
