axis_id,foundation,n_cells,llm_grand_mean,llm_grand_sd,atari_foundation_mean,delta_vs_atari,item_text
mfq2_care_01,care,532,4.6504,0.7351,3.9568,0.6936,Caring for people who have suffered is an important virtue.
mfq2_care_03,care,182,4.5879,0.7656,3.9568,0.6311,We should all care for people who are in emotional pain.
mfq2_proportionality_04,proportionality,180,4.3167,0.9244,3.9005,0.4162,It makes me happy when people are recognized on their merits.
mfq2_care_02,care,182,4.2692,1.0022,3.9568,0.3124,I believe that compassion for those who are suffering is one of the most crucial virtues.
mfq2_authority_04,authority,181,4.1547,0.9418,3.7758,0.3789,We all need to learn from our elders.
mfq2_care_04,care,182,4.0714,1.1274,3.9568,0.1146,I am empathetic toward those people who have suffered in their lives.
mfq2_care_05,care,182,4.0495,0.9876,3.9568,0.0927,Everyone should try to comfort people who are going through something hard.
mfq2_authority_01,authority,538,3.8755,0.9809,3.7758,0.0997,I think it is important for societies to cherish their traditional values.
mfq2_care_06,care,182,3.8516,1.2896,3.9568,-0.1052,It pains me when I see someone ignoring the needs of another human being.
mfq2_loyalty_06,loyalty,179,3.7989,1.2010,3.7379,0.0610,I believe the strength of a sports team comes from the loyalty of its members to each other.
mfq2_proportionality_02,proportionality,180,3.7222,1.0988,3.9005,-0.1783,I think people should be rewarded in proportion to what they contribute.
mfq2_authority_02,authority,180,3.7167,1.0043,3.7758,-0.0591,I feel that most traditions serve a valuable function in keeping society orderly.
mfq2_purity_01,purity,178,3.6854,1.3285,3.1879,0.4975,"I think the human body should be treated like a temple, housing something sacred within."
mfq2_proportionality_03,proportionality,180,3.4833,1.2528,3.9005,-0.4172,The effort a worker puts into a job ought to be reflected in the size of a raise they receive.
mfq2_loyalty_03,loyalty,181,3.4586,1.2086,3.7379,-0.2793,Everyone should love their own community.
mfq2_proportionality_05,proportionality,177,3.4463,1.0546,3.9005,-0.4542,"In a fair society, those who work hard should live with higher standards of living."
mfq2_equality_06,equality,174,3.3563,1.3641,3.0032,0.3531,I get upset when some people have a lot more money than others in my country.
mfq2_loyalty_05,loyalty,180,3.3222,1.1943,3.7379,-0.4157,Everyone should feel proud when a person in their community wins in an international competition.
mfq2_purity_02,purity,177,3.1356,1.2265,3.1879,-0.0523,I believe chastity is an important virtue.
mfq2_proportionality_01,proportionality,179,3.1229,0.9980,3.9005,-0.7776,I think people who are more hard-working should end up with more money.
mfq2_loyalty_01,loyalty,181,3.0055,1.1426,3.7379,-0.7324,I think children should be taught to be loyal to their country.
mfq2_authority_05,authority,180,2.8500,1.1160,3.7758,-0.9258,I believe that one of the most important values to teach children is to have respect for authority.
mfq2_authority_06,authority,180,2.7556,1.1800,3.7758,-1.0202,I think having a strong leader is good for society.
mfq2_proportionality_06,proportionality,178,2.7360,1.3118,3.9005,-1.1645,I feel good when I see cheaters get caught and punished.
mfq2_authority_03,authority,181,2.7127,1.0029,3.7758,-1.0631,I think obedience to parents is an important virtue.
mfq2_loyalty_04,loyalty,178,2.5787,0.9549,3.7379,-1.1592,"Everyone should defend their country, if called upon."
mfq2_equality_04,equality,181,2.3923,1.2137,3.0032,-0.6109,I believe it would be ideal if everyone in society wound up with roughly the same amount of money.
mfq2_purity_03,purity,181,2.3812,1.3096,3.1879,-0.8067,It upsets me when people use foul language like it is nothing.
mfq2_purity_06,purity,180,2.3500,1.1698,3.1879,-0.8379,I admire people who keep their virginity until marriage.
mfq2_equality_02,equality,181,2.3370,1.2075,3.0032,-0.6662,Our society would have fewer problems if people had the same income.
mfq2_loyalty_02,loyalty,181,2.2155,1.1269,3.7379,-1.5224,It upsets me when people have no loyalty to their country.
mfq2_equality_01,equality,536,2.1325,1.2149,3.0032,-0.8707,The world would be a better place if everyone made the same amount of money.
mfq2_equality_03,equality,182,2.1044,1.1491,3.0032,-0.8988,I believe that everyone should be given the same quantity of resources in life.
mfq2_equality_05,equality,180,1.9444,1.0661,3.0032,-1.0588,"When people work together toward a common goal, they should share the rewards equally, even if some worked harder on it."
mfq2_purity_05,purity,181,1.8950,1.0567,3.1879,-1.2929,People should try to use natural medicines rather than chemically identical human-made ones.
mfq2_purity_04,purity,179,1.7933,0.9754,3.1879,-1.3946,If I found out that an acquaintance had an unusual but harmless sexual fetish I would feel uneasy about them.
